,text,description,age
2118,#SBHatHome: Brothers Yuriel (4th) and Gianny Mariano (1st) are taking advantage of this beautiful weather by making… https://t.co/yeTLHXAwVO,"Established in 1997, Sallie B. Howard School for the Arts & Education is a free, public charter school in Wilson, N.C. serving over 1000 students in grades K-8.",23
2216,"RT @Mimichiro17: I miss eating out.. please stay inside and stay safe so we can get over this faster. 🍴 
.
.
.
.
.
.
#restaurant #utensils…",NYC-MPLS-BA-PHIL1981,39
2447,Ukraine lifts ban on sale and rent of cars during quarantine https://t.co/VZy90CNOsG #Politics… https://t.co/k1eizz3BIU,"Breaking world news, latest headlines and stories from POST Online Media. With you since 2008. http://poandpo.com",12
2452,"As the #weekend and the #quarantine continue, today #live #stream #djset will be hosted by #Alys 🙃🎥 Expect #acid… https://t.co/LpBpD0DnQJ","Non-profit organization, electronic events promoter since 2002, focus on #psytrance #techno #hardcore. Home of #DigitalTrance & #DigitalCore.",18
2483,"#SBHatHome: 5th grader Jae'la Tillery is trying to keep up with her dog Jazzy, as they take a moment to enjoy some… https://t.co/35SOpOvZGM","Established in 1997, Sallie B. Howard School for the Arts & Education is a free, public charter school in Wilson, N.C. serving over 1000 students in grades K-8.",23
2493,#coronavirus #Quarantine #awareness  @KTRTRS @BTR_KTR  STAY HOME STAY SAFE https://t.co/W7QovYrnZF,,21
2524,@Rashahaji @HSajwanization This casual behaviour is big cost right now for human ...Europe and USA are great exampl… https://t.co/mkC8baW4OE,Think Positive,54
2542,RT @WORLDSTAR: Parents are not playing during this #quarantine! 😂😳 @_THATBOYFUNNY https://t.co/ecUcDu7nWK,-January 3rd 1995 -Capricorn -As long as you achieve then the rest will come,25
2680,Here is the list of movies to add to your #Quarantine #watchlist if you love #food. Recommended by our experts and… https://t.co/JwXqFl2EOS,Giving you access to India's finest 2000+ restaurants with our exclusive 1+1 privileges! Download the @dineout_india app👇,20
2703,"RT @SpicygumL: 😵I had an online orgy with @KateTruu and @AxelTruu when everything are on lockdown! CUM to see us!
My channel:
Free V: 
http…",😅,50
2722,"RT @Arshia83083107: Yeah rahi 2nd Drawing ☺☺☺
#3MUnitedAsimFam 
#StayAtHome
#StaySafe
#COVID19
https://t.co/ydj3VAyPRL https://t.co/6AiMTvC…",Make Love your weapon to overcome any evil❤️ A Humanitarian and a Poet. Snapchat & Instagram: oceans262003 Tiktok: Kishmish2010 Youtube: Mariam Jomehei,17
2758,"Exercise with these household objects for a full-body workout during #Quarantine

Gallon of water: check. 
Wine bot… https://t.co/O2eYBDLrJ7",Experienced Business Leader escaped from large multinationals to run own businesses (Yes 3 of them!). Small is beautiful! http://tinyurl.com/6gfqn63,20
2778,"Evening exercise with colleagues🏓
Looking after physical health and trying to stay active at home during this… https://t.co/wQGawsmFRc","Member :
Karachi Press Club (KPC) / Karachi Union of Journalist (KUJ). Imperial News Network Agency (INNA)

🇵🇰 0092-303-6982008",12
2817,"RT @JaniChiragjani: Hey Amigos.. Here is the Sunday surprise for you all.   💥💥
How many of You Remember This scene From #Kaappaan ??? 
I Tr…","Basically Dancer🕺

Suriya Addict🔥

Cricket Lover🏏

31-Oct-2001⌚

Family Luv &
Friends Luv

Only For SURIYA Trends ❣️",19
2820,Morning shave clitty😘,,20
2945,@Donnieradio I need a #holyghostparty on #IGLive Easter Sunday w/ @kirkfranklin @YolandaAdams and #fredhammond!… https://t.co/7H9jbS5hf5,"Child of God, Wife, Mother, Playwright. Working to make a difference in this world!",31
3044,"RT @JaniChiragjani: Hey Amigos.. Here is the Sunday surprise for you all.   💥💥
How many of You Remember This scene From #Kaappaan ??? 
I Tr…","😘 p. Dhanraj. 
nick  name. Dhana
Dob. 26.09.1998
surya anna Big fan
and Dhoni Raina
all so
தமிழன்https://www.youtube.com/channel/UCgJzUKRG2Rd9RwOYzYx1erg",22
3172,"RT @IRC_KHF: ""Take advantage of the quarantine period; it is an opportunity for reflection, to rethink your priorities and to plan for the…","Through performing arts productions and training programs we promote creativity,humanitarian values and cross-cultural understanding. Since 1987",33
3228,Ukraine lifts ban on sale and rent of cars during quarantine https://t.co/VZy90CNOsG #Politics… https://t.co/Nzs8Vx54V4,"Breaking world news, latest headlines and stories from POST Online Media. With you since 2008. http://poandpo.com",12
3232,Sanity check #4thweekquarantine #makeupcheck #haircheck #selfiecheck #selfie #hair #eyelashes #quarantinedays… https://t.co/JtloZw7w9M,Capricorn transgender,20
3238,RT @1916dc1892: Animation fella for people who aren’t funny and southerners,Mmmmmm,27
3264,"RT @HolyCannoli86: What is with these ignorant motherf__kers! First ice cream, now THIS?! I hope he gets arrested! What a douche! #challeng…","Born In The USA 🇺🇲♥️💟💙
#ItalianHeart 🇮🇹♥️ 
🚫  NO DMs‼️ MARRIED ‼️
💯  #TrumpSupporter 🦅🇺🇸
#MAGA  #KAG🇺🇸
#RottieMom 🐺#Acquitted4Ever🇺🇸",20
3277,"RT @DavionTheGod: “Hope I Make You Proud...
Niggas Selling Out &amp; I Don’t Even Know Why” 🤷🏽‍♂️
.
.
.

 #newsong #dtg #music #Florida #tampa…",🇬🇾🇯🇲,25
3343,"RT @Zimal__Armaan: And the more you are staying away from your siblings in #Quarantine more you people are missing them, more your love tow…",Does not Matter.,13
3400,RT @kannonradio: Who’s has questions for the magnificent @Harry_Styles?!?! Tweet em to me and I’ll give you the shout out. Talking to him l…,,11
3410,#palmsunday🌿 was always one of my favorite times to be in church. With this #quarantine I am missing it. It is depr… https://t.co/KQvrOWnVeF,A weirdo chick who is loving life! ^_^,30
3429,"RT @waiwaiindia: Here comes the next level! 
Grab a screenshot and share it with us when you see 2 same packs of Wai Wai align.
#WaiWaiKhao…","Fun-loving , Sagacious and  Contestlover ..",35
3434,"Keep fit &amp; healthy, stay home 🏠",law Graduate from Karachi SM Law http://Collage.Now living in Islāmābād. Pakistan 🇵🇰.,20
3476,"@waiwaiindia Done Dear Team ♥️👇

#WaiWaiKhaoMoodBanao
#waiwai #quarantine #pass #noodles #soup #munch #lunch… https://t.co/UJxITIcGDu","Fun-loving , Sagacious and  Contestlover ..",35
3516,Daily Image from BARGA  – 5th April 2020 #barga #barganews #bargavecchia #tuscany #toscana #italy #igersitalia… https://t.co/6mueYwhUyT,"Painter and photographer and since 1996 creator and editor of first on line news site in Tuscany Italy 
(Pronouns: He/His)
http://www.barganews.com",24
3660,ngl i laughed for like 10 mins after making this 🦈🦈 @sanbenito @Randynotaloca #Safaerachallange  #Quarantine… https://t.co/CIWm4XLr9p,in the eternal quest for memes and tequeños 🇻🇪,25
3770,RT @VofBalochistan: Advocate Malik Sikandar Khan talks about ration distribution and other safety measures during this phase of #Quarantine…,,37
3792,RT @kannonradio: Who’s has questions for the magnificent @Harry_Styles?!?! Tweet em to me and I’ll give you the shout out. Talking to him l…,,11
3805,RT @BestGifStyles: Harry about his go-to #quarantine outfit https://t.co/dydzNfXUvM,,11
3832,RT @dgscruffy: Another night of playing with my dick while playing dead by daylight #quarantine #gay #cock #dick #thickdick #cub #bear #thi…,,38
3929,"RT @waiwaiindia: Here comes the next level! 
Grab a screenshot and share it with us when you see 2 same packs of Wai Wai align.
#WaiWaiKhao…","😊 ""जिंदगी गुजारने के दो तरीके है, जो पसंद है उसे हासिल कर लो या जो हासिल है उसे पसंद करलो।”",54
4005,"@waiwaiindia Here is my perfect screen shot 
Join friends @CHUNMUN143 @Ashapanchal8 @SanjayJ45449140 @coool_kashish… https://t.co/ioc03jj1Ds","😊 ""जिंदगी गुजारने के दो तरीके है, जो पसंद है उसे हासिल कर लो या जो हासिल है उसे पसंद करलो।”",54
4032,ngl i laughed for like 10 mins after making this  😂😂  @sanbenito @Randynotaloca #SafaeraChallenge #Quarantine… https://t.co/y0PWP7Ebd5,in the eternal quest for memes and tequeños 🇻🇪,25
4033,"RT @KrytenRD: Five series down and time for an itty-bitty, bitesized recap of your #BestOfSmeg favourite episodes so far:

Series I: #Futur…","I love RedDwarf, DoctorWho, StarTrek, StarWars, Marvel Movies, DC Movies. I have SevereSightImpairment & GuideDogUser PleaseAudioDescribeAllDVD&BluRay",40
4091,"RT @JaniChiragjani: Hey Amigos.. Here is the Sunday surprise for you all.   💥💥
How many of You Remember This scene From #Kaappaan ??? 
I Tr…","#IntoTheMadness


#Bitcoinist 💰💰#crypto #btc🚀🚀

Online Gamer 🔥🔥

https://platinum.crypto.com/r/zg57hdbqhy",27
4095,RT @IamBiatriz: Whaddup it was my birthday yesterday and we couldn’t do anything but I still wanted to make the best of it. So please enjoy…,"#IntoTheMadness


#Bitcoinist 💰💰#crypto #btc🚀🚀

Online Gamer 🔥🔥

https://platinum.crypto.com/r/zg57hdbqhy",27
4142,"RT @Thakur509: Fitness is a lifestyle not a cause 🤔
#WrestleMania 
#COVID2019 
#lockdown 
#9baje9mintues 
#COVID 
#CurfewInIndia 
#Quaranti…",,16
4166,Join our friendly Facebook group &amp;  find a warm welcome. Sundays are for our inspirational people series and today… https://t.co/zsghalHqPy,"Heritage Maison de Parfum, created in 1975 by acclaimed Perfumer #YuriGutsatz Revived in 2016 by his family. Ingredients sourced by us. #sustainable #refills",45
4290,Ukraine lifts ban on sale and rent of cars during quarantine https://t.co/VZy90CNOsG #Politics… https://t.co/RASWeaDYIi,"Breaking world news, latest headlines and stories from POST Online Media. With you since 2008. http://poandpo.com",12
4361,"RT @JaniChiragjani: Hey Amigos.. Here is the Sunday surprise for you all.   💥💥
How many of You Remember This scene From #Kaappaan ??? 
I Tr…",SURIYA ANNA UYIR😍,21
4376,"Today while foraging through the refrigerator, I noticed there were no eggs or paneer. However, when you have grown… https://t.co/Dp6wfVgnCV","Chef. Television Personality. Gourmet. 1st Runner Up Grilled. Himachali & United Punjab Cuisine Expert. Miss Shimla 2005. Founder, #AGirlFromTheHills",15
4449,RT @jayemulaa: Meet me in the bedroom it’s going up. #Quarantine https://t.co/xxQrlOB05j,,52
4513,RT @Iamkavitak: Because Mr Khan is a very good human being ❤🙏 https://t.co/mZbJtm2oIH,"Biggest, Craziest, Mad - Fan of King/Dr. Shah Rukh Khan :* :* Since 2006 :* :* Love You King :* :* @iamsrk",14
4523,"Pancake bacon...yummm! #boxer #bacon #sundayfunday #prechurchbreakfast #quarantine #frenchie @ Colleyville, Texas https://t.co/eDcdQ6ZYKm",Fort Worth cosmetic sedation dentist serving the North East Tarrant County with skill & compassion since 1985. Helping you have healthy teeth & gums for life.,35
4665,RT @GandalfGreyCat: This #Quarantine is exhausting 😹😹😹 That’s my sister Alice 😻🐾 #QuarantineCats #SundayThoughts #CatsOfTwitter https://t.c…,Man Utd fan - was in Nou Camp & Luzhniki Stadium when we won the Champions League in 1999 & 2008. Also support Bayern & DfB.,21
4723,RT @ParisHilton: This #Quarantine is not hot.🙅🏼‍♀️ #StayHome #SaveLives and watch #TheSimpleLife. 👯‍♀️ https://t.co/tCOitdBzm1,Unsatisfied chronic since 1993,27
4781,RT @falamb3: Saw a big HEART lit up in my neighborhood....just brought a smile on so many faces....in these trying times small gestures mea…,"Pakistani ❤  @Imrankhan  follow Tehreek e insaf
 volunteering social media for 🇵🇰",59
4895,"Sabhi apna jawab do

Comment every boy
#love #quarantine 
@akshaykumar @ManojBaisla2007 https://t.co/TzPqT3cg63",doing social work,13
4957,"RT @EvaRufinopires: who are you in this quarantine? 
😂😂😂 #Enginakyürek #sancar #sefirinkizi #NarSan #covid #corona #Quarantine #Quarentena…",,66
5074,Ukraine lifts ban on sale and rent of cars during quarantine https://t.co/VZy90CNOsG #Politics… https://t.co/GU3Jj7rsxe,"Breaking world news, latest headlines and stories from POST Online Media. With you since 2008. http://poandpo.com",12
5171,RT @JeditheCat1: Many of us have had our humans at home. A LOT. And it’s been...challenging. What’s the most annoying thing your human has…,"I like Freedom and Democracy. I am a citizen of the Earth, my religion is to try to get along, my race is Human.",52
5336,Look at that #deepbluesea. Sensational. Oh how I love the #ocean. #rareglimpse #oceanbreeze #sundaymorning… https://t.co/rtqrnffFBq,,50
5341,RT @The_Japan_News: Temporary Games housing facility may be converted into treatment facility for relatively mild cases of new #coronavirus…,Some days I just want a Illudium Q-36 Explosive Space Modulator so I can hear the lovely kaboom.,60
5366,RT @NurseNatNat36DD: Which #Naughty #Nurse would you like to be in #Quarantine with? #HottestMask   #Leftorright ?  #scrubs #Bored #Quarati…,"Single, adoro il porno amatoriale...",46
5368,They left me out of the cuddle session. 😢 #fomo #naptime #sunday #quarantine #quarantinelife #myboys… https://t.co/vR5EK6BETi,"📺 @cw39houston                               
🏳️‍🌈 👨‍❤️‍👨 @johnnyxhuynh                        
🐶🐕Cooper & Charlie
Britney fanatic since 1998!",22
5381,"#SBHatHome: It's a dance party! Our students love to show off their moves and we love to see it.
Clockwise: Sergio… https://t.co/vumO1QA3tq","Established in 1997, Sallie B. Howard School for the Arts & Education is a free, public charter school in Wilson, N.C. serving over 1000 students in grades K-8.",23
5436,#IndiaFightsCOVID19 #IndiaBattlesCoronavirus #TubelightModi #Loc #9बजे9मिनट #9bje9minutes #Quarantine bechare liber… https://t.co/rmf609Bbn0,#Delhi #Nation_First,36
5482,"Having a drink on the balcony with my #quarantine buddy. She's having 'Acqua di Amsterdam', I've invented a nice su… https://t.co/XCMu3iSkka","Vegetariër by choice (2000), glutenvrij onder dwang (coeliac sinds oktober 2012) en altijd in voor lekker eten en goede restauranttips! I tweet what I eat!",20
5541,RT @hello_lee_hi: Check this now on YouTube #quarantine #homealone 🦋 https://t.co/PrvrWKL58k,♤Dreams and dedication is a powerful combination♤ JUNKYU'S》BIGBANG》iKON 》WINNER》TREASURE》SILVERBOYS 》 2NE1 》EX/ YG TRAINEES》MULTI Since 2009,11
5594,RT @VABVOX: The death toll is dropping in #Spain due to #quarantine finally making a differemce. But today all over America people are out…,Need to know. Books. Cats. Writing. Film. Politics. Science. Secular Humanist Boomer. Personal account. #Democrat #Resist  Artwork by Jim Williams 1959-2013,61
5636,RT @VABVOX: The death toll is dropping in #Spain due to #quarantine finally making a differemce. But today all over America people are out…,,74
5802,@highschteacher 3x a day.. from #Quarantine,"Follow me and I would let you the world of Screaming Girls
I believe in desire and lust each  individual have..
soft BDSM and multiple fantasy",31
5805,RT @aubrey_huff: This will be the scene all over America in 2 weeks. Just how long do you think people will stay cooped up in their houses…,UAV Pilot-GOLF-#GOLFMATE-Auburn Tigers-Outdoor Sports-BayWaters-Gulf kinda guy-Conservative-Do the right thing no matter what-Never Quit,51
5815,RT @VABVOX: The death toll is dropping in #Spain due to #quarantine finally making a differemce. But today all over America people are out…,,38
5900,#quarantine day 135?! I met a new friend his name is Mr Grails 🏐😳🤪 https://t.co/waUThUpuSd,Bringing you a little of my collection,14
5947,"RT @VofBalochistan: In this phase of #Quarantine, let's explore Mach, and find out interesting facts about the place.

#Covid_19

https://t…","Hello I’m uzair usman baloch
I’m from Gwadar 
My birthday 🎂7/MAR/2006",14
5961,RT @VofBalochistan: Advocate Malik Sikandar Khan talks about ration distribution and other safety measures during this phase of #Quarantine…,"Hello I’m uzair usman baloch
I’m from Gwadar 
My birthday 🎂7/MAR/2006",14
6005,RT @VABVOX: The death toll is dropping in #Spain due to #quarantine finally making a differemce. But today all over America people are out…,,42
6046,My worst #coronavirusmeme ever. 😅,"I'm a bullying survivor. I want to save lives. #afbv #REDInstead #ActuallyAutistic #AllAutistics #Catholic #Antibullying YOB 1980. She/her, cis, ace, white.",40
6050,"..ed ancora una volta...#GRAZIE a #TUTTI! | ..and again...#THANKS everybody! SEE YA NEXT #LIVE!
#lipford… https://t.co/Qyj3noAw2W","I'm Giovanni Lipford.
The world welcomes me on May 7th, 1985. I love life and I try to celebrate it with my music.
Let the show begin...",35
6183,RT @aubrey_huff: This will be the scene all over America in 2 weeks. Just how long do you think people will stay cooped up in their houses…,"love God and Country, USAF Veteran,Chicago Sports, legal immigration, sanctuary cities/states are illegal! Voter ID supporter, unfollow all that don’t follow.",57
6255,"RT @GabbyQuinteros: It’s my new going out #quarantine look. What do you think? Leave me a comment, I’ll respond. 
See 👀more on my OnlyFans…",Motley Crue for life & CRUEHEAD since 1981 when they formed & for life,39
6301,Ukraine lifts ban on sale and rent of cars during quarantine https://t.co/VZy90CNOsG #Politics… https://t.co/xRoRccKpIz,"Breaking world news, latest headlines and stories from POST Online Media. With you since 2008. http://poandpo.com",12
6389,RT @AlexandreConran: OOMMGGG!!! IM SCREAMING!! 😂😂😂 @ParisHilton @nicolerichie 😂🤣😂🤣🥳 #Sliving #SimpleLife #ThatsHot #Bish,"born 1952 Air force Veteran.. like, Horses,  and dogs. Chatting to beautiful Women..Like Playboy, can tell things about the future..",68
6528,"RT @myonlinedukaan: 🕯️For togetherness 🕯️
Stay inside. Stay safe.
India fights Corona!!!

#myonlinedukaan #9pm9minutes #9pm9minute #indiaag…","LoG ApNi DuNiYa BaNaTe Hai MuJhE ApNi JaNnAt✨ BaNaNi Hai
🌍 Earth is my home🏡
💞Jannat💘
ⓂMotivator
📈Teacher 📝
🏡Dho➡Udaipur➡kota➡jaipur",25
6560,My thoughts exactly.,🔥 Alive 🐉 1988 🔥,32
6620,"RT @lonelyboy1977: #TheExerciseOfVitalPowers 💫🗡️💥⚔️

Need distraction while in #quarantine? My debut #fantasybook, likened to #Graceling, #…","I am the unsung, worst selling #author of 𝐓𝐡𝐞 𝐄𝐱𝐞𝐫𝐜𝐢𝐬𝐞 𝐎𝐟 𝐕𝐢𝐭𝐚𝐥 𝐏𝐨𝐰𝐞𝐫𝐬. AKA the Philip K Dick of #fantasy, and someday the Jacqueline Carey of #sciencefiction.",43
6658,"RT @fulltimepapi: thank you @yesbrawn for the dick after our workout 😋 #GayPorn #stayhome #quarantine &amp; jerk off to this 🍿🤤

🎬 WATCH THE FU…",,30
6818,"This #quarantine I’ve learned a lot about myself.

I eat too much, I drink too much, basically, I want too much.

O… https://t.co/vzLziZU8Cj",Family & Friends. Food & Beer. Digital Marketer. Arguing sports & music since 1980. Bad Hombre. Thoughts & opinions are my own - especially the bad ones. he/him,40
6921,"RT @SANGEETA_DHAKOL: Thank you @iamsrk for your valuable contribution towards the country 👍
#ShahRukhKhan #Bollywood #GauriKhan @RedChillie…","My Dream is meet #SRK Sir or ye Kab hoga Allah?
Join #SRK_FAN_CLUB_DELHI
Whatsapp No. +919873394348 
I Love SRK & His Fans.",33
7066,"RT @tisaymanzano: #quarantine sex be like. 

#tisaymanzano
#petermanzano https://t.co/tK5sl0AFMv",ina mo ka,53
7083,Put your #coronavirus #quarantine to good use! We've made all Skeptoid episodes available free on the website throu… https://t.co/MWzrcUC2ln,"Science writer. http://principlesofcuriosity.com movie; http://skeptoid.com science podcast since 2006; author ""Conspiracies Declassified"" http://a.co/h3G9z6w",14
7149,Ukraine lifts ban on sale and rent of cars during quarantine https://t.co/VZy90CNOsG #Politics… https://t.co/gu3Kr0ijbk,"Breaking world news, latest headlines and stories from POST Online Media. With you since 2008. http://poandpo.com",12
7201,This #Quarantine has me on #socialmedia too much. I need a break. I'm finding myself wanting to argue about stupid… https://t.co/iEG1OWaSzs,"“We have to dare to be ourselves, however frightening or strange that self may prove to be.”
― May Sarton",36
7291,"Facts❤
#coronavirus #COVID-19 #washyourhands #stayhome #funny #quarantine #pandemicpersonality #pandemic #eat… https://t.co/VSqWztji8d",Retweets are not endorsements 😍😘.,40
7458,@KristofCale Hiya! #quarantine day 31 here 😖,"Head In The ☁️, Feet On The Ground | 1983 | 1995 BoogieBeliever | 2006/2017 @officialMOIF member/staffer | 2014 Sales agent",37
7636,"RT @shinshingummy: @9GAG @mindfaucet Link to the original.
https://t.co/ViIiPRBWOm",07041988 / Computer Tech,32
7747,New York Times: They Were the Last Couple in Paradise. Now Their Resort Life Continues. - https://t.co/5eCxzhUpTA… https://t.co/NUVETrNYsQ,"Obsessed with search engines, info collections, and databases since forever. News and resources covering same since 1998. Wrote a stack of books. Say hi.",22
7792,"@realDonaldTrump @VincentCrypt46 
#Immigrants. #Buildthewall
Why can refugees fly? #CoronavirusUSA 
#lockdown . Are… https://t.co/DlGR8iHXzE","Life is a Journey, everyone has their own pace so be kind.
I am a Married Mom and Granny and life is just getting more interesting.",32
7816,"Target...🙄🎯😝
#coronavirus #COVID-19 #washyourhands #stayhome #funny #quarantine #target https://t.co/vJ8eyqt8JB",Retweets are not endorsements 😍😘.,40
7933,Going 🔴LIVE in 10 with a #drumming stream on #twitch! Come drop requests and hang out. How’re you keeping busy duri… https://t.co/1mqyIcCEg9,"http://Twitch.tv/kissarmy1989 ; Drummer, Tekken player, proud Costco employee. Former employee/sales rep at Game N Trade.",31
